/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000603-1.x0 : 3814 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000603-1.x1 : 3620 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000603-1.x2 : 3451 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000603-1.x5 : 3451 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-1.x0 : 2207225 cycles, 63 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-1.x1 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-2.x0 : 442 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-2.x1 : 345 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-2.x2 : 345 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-2.x3 : 197 cycles, 4 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-2.x7 : 356 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-3.x0 : 409 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000605-3.x1 : 222 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000622-1.x0 : 746 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000622-1.x1 : 652 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000622-1.x2 : 520 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000622-1.x3 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000622-1.x5 : 529 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000703-1.x0 : 3491 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000703-1.x1 : 601 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000703-1.x2 : 519 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000703-1.x3 : 396 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000703-1.x5 : 2615 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-1.x0 : 661 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-1.x1 : 578 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-1.x2 : 470 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-1.x3 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-1.x5 : 1480 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-2.x0 : 671 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-2.x1 : 592 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-2.x2 : 470 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-2.x3 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-2.x5 : 470 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-3.x0 : 404 cycles, 2 ms
